Probe	Symbol	Description	LocusLink	Cytoband	PubMed	Gene Ontology	Pathway	t-statistic	Ctrl 1	Ctrl 2	Ctrl 3	Ctrl 4	Exp 1	Exp 2	Exp 3	Exp 4
31521_f_at	HIST1H4J	histone 1, H4j	8363	6p22-p21.3	12408966, 9439656, 6265100			5.0312990998988	10.1647377250519	10.7319068228030	10.1490325871187	10.3501005334740	10.9594565577467	11.6539751765344	11.7829887673821	11.5925408030421
36508_at	GPC4	glypican 4	2239	Xq26.1	9931407, 9787072, 7657705	GO:0015017: glypican, GO:0007345: embryogenesis and morphogenesis, GO:0008283: cell proliferation, GO:0005888: proteoglycan integral to plasma membrane, GO:0005578: extracellular matrix		4.99788894016721	6.6076614732616	6.5524011056602	6.32759247407883	6.5939589595021	6.84562010195139	7.02293013180584	6.90509677477271	6.85139229155367
40614_at	SHB	SHB (Src homology 2 domain containing) adaptor protein B	6461	9p12-p11	12200137, 12084069, 11786545, 8302579, 7713524	GO:0005070: SH3/SH2 adaptor protein activity, GO:0007242: intracellular signaling cascade		4.86627220916465	2.6471101056225	2.54981937731541	2.62246820891621	2.57494648276074	2.77170755889521	2.68998565325767	2.75897428142811	2.73009554344297
1724_at	E2F4	E2F transcription factor 4, p107/p130-binding	1874	16q21-q22	12148576, 12055184, 12006580, 11759817, 11025371, 11012981, 11005809, 10797289, 10208422, 9688145, 9074408, 7958925, 7958924, 7892279	GO:0003700: transcription factor activity, GO:0000074: regulation of cell cycle	04110: Cell cycle	-3.75707638469879	8.02172000913332	7.78865075447629	9.2139074934051	9.97503809956787	6.87789237869933	6.46994113874344	6.88465511442648	6.88743750447784
38573_at	YAF2	YY1 associated factor 2	10138	12q12	11953439, 9016636	GO:0003714: transcription co-repressor activity		-2.94629352784072	3.21518123033257	3.29950143829061	3.44362609856198	3.36414127939564	2.94599684503704	3.21611173961157	3.17095965593888	3.08585131884905
151_s_at	OK/SW-cl.56	beta 5-tubulin	203068	6p21.32	12477932, 11504633, 11120798, 9110174, 8619474, 6865944, 3782288	GO:0005525: GTP binding activity, GO:0005198: structural molecule activity, GO:0003754: chaperone activity, GO:0007018: microtubule-based movement, GO:0045298: tubulin, GO:0042267: natural killer cell mediated cytolysis, GO:0042288: MHC class I protein binding activity		2.92640592973246	4.29143620922651	4.29099069810413	4.27512527027953	4.21659268857355	4.51866026973592	4.36422693718289	4.33971848286825	4.37074595286862
38023_at	PITPN	phosphotidylinositol transfer protein	5306	17p13.3	8541325, 8255295, 8194769, 7914867, 1883207	GO:0008525: phosphatidylcholine transporter activity, GO:0008289: lipid binding activity, GO:0008526: phosphatidylinositol transporter activity, GO:0006810: transport, GO:0006899: nonselective vesicle transport, GO:0007601: vision, GO:0006629: lipid metabolism, GO:0005622: intracellular		2.75850887035114	3.18921403783182	3.19806714080681	3.16234960474005	3.19632233199144	3.25172466969342	3.31163189787077	3.36323561756342	3.20709386686119
36267_at	NFKBIL1	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor-like 1	4795	6p21.3	12509789, 10369924, 9480751, 8499947, 8081366	GO:0003719: transcription factor binding activity, cytoplasmic sequestering		-2.73919572635476	4.58570076132794	4.7794331507620	4.75569761411448	4.84508401415158	4.49066922241873	4.56147929492352	4.64862860512752	4.56376806749409
33012_at	TNFSF8	tumor necrosis factor (ligand) superfamily, member 8	944	9q33	11728464, 10878352, 9558389, 9349718, 8391931, 8161776	GO:0005164: tumor necrosis factor receptor ligand activity, GO:0006917: induction of apoptosis, GO:0006955: immune response, GO:0008283: cell proliferation, GO:0007165: signal transduction, GO:0007267: cell-cell signaling, GO:0005887: integral to plasma membrane		-2.72906084641964	5.55675400986056	5.61392621108641	5.37843701393051	5.45628908256417	5.24870248016849	5.36028072962635	5.34486981064774	5.01840788901015
262_at	AMD1	adenosylmethionine decarboxylase 1	262	6q21-q22	7789170, 2687270, 2460457, 1527020, 1400498	GO:0006597: spermine biosynthesis, GO:0008295: spermidine biosynthesis, GO:0008372: cellular_component unknown, GO:0016829: lyase activity	00330: Arginine and proline metabolism	-2.46550998097060	3.99817384764134	4.01119538593165	3.97128386154538	3.8954554253958	3.76596639535936	3.89169857697602	3.82211532068267	3.48859096395182
